
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
E8:65:D4:2B:A9:41, 2025-07-16 20:34:31, 2025-07-16 21:20:56,  5, 130, WPA2, CCMP, PSK, -75,    27128,   179697,   0.  0.  0.  0,  24, FLASHNET-Pizzaria Italia, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
EA:0A:30:FF:E1:2E, 2025-07-16 20:34:31, 2025-07-16 21:20:48, -92,   105421, E8:65:D4:2B:A9:41,
BA:7A:2F:E3:D2:D1, 2025-07-16 20:34:31, 2025-07-16 20:44:26,  -1,      113, E8:65:D4:2B:A9:41,
A8:96:09:46:0A:20, 2025-07-16 20:34:34, 2025-07-16 21:20:49, -90,     6302, E8:65:D4:2B:A9:41,
2C:05:47:B4:26:46, 2025-07-16 20:34:38, 2025-07-16 21:20:56, -74,     1445, E8:65:D4:2B:A9:41,
22:92:DE:75:C6:6C, 2025-07-16 20:34:53, 2025-07-16 21:17:12,  -1,     3547, E8:65:D4:2B:A9:41,
76:11:88:56:9A:C3, 2025-07-16 20:35:23, 2025-07-16 21:12:50, -91,     3827, E8:65:D4:2B:A9:41,
F6:DC:4D:1F:7E:07, 2025-07-16 20:36:36, 2025-07-16 21:17:46, -91,      250, E8:65:D4:2B:A9:41,
B2:42:26:84:B2:6C, 2025-07-16 20:40:34, 2025-07-16 21:07:23,  -1,     1207, E8:65:D4:2B:A9:41,
66:2E:43:7B:7A:87, 2025-07-16 20:41:33, 2025-07-16 20:41:47,  -1,      151, E8:65:D4:2B:A9:41,
68:83:CB:55:83:27, 2025-07-16 20:41:38, 2025-07-16 20:41:42,  -1,       10, E8:65:D4:2B:A9:41,
E6:5B:AD:F7:BE:12, 2025-07-16 20:46:31, 2025-07-16 21:20:55, -94,    54615, E8:65:D4:2B:A9:41,
32:EA:B8:3D:4D:28, 2025-07-16 20:49:19, 2025-07-16 20:51:44,  -1,      564, E8:65:D4:2B:A9:41,
F6:F5:9B:4C:B4:A4, 2025-07-16 20:56:37, 2025-07-16 21:20:31, -94,     1111, E8:65:D4:2B:A9:41,
76:A0:68:27:9F:FD, 2025-07-16 20:59:49, 2025-07-16 21:00:36, -90,      272, E8:65:D4:2B:A9:41,
62:17:77:1D:21:EC, 2025-07-16 21:00:08, 2025-07-16 21:00:44, -88,      606, E8:65:D4:2B:A9:41,
36:3C:13:02:0C:38, 2025-07-16 21:10:47, 2025-07-16 21:10:47,  -1,       12, E8:65:D4:2B:A9:41,

